"","account_id","acct_creation_date","statement_frequency","account_district","num_customers","credit_cards","loan_date","loan_amount","loan_payment","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","max_balance","min_balance","credit_bank_transfer_other_txn_ct","credit_bank_transfer_other_txn_tot","credit_bank_transfer_other_avg_txn","credit_cash_other_txn_ct","credit_cash_other_txn_tot","credit_cash_other_avg_txn","credit_other_interest_credit_txn_ct","credit_other_interest_credit_txn_tot","credit_other_interest_credit_avg_txn","debit_bank_transfer_household_payment_txn_ct","debit_bank_transfer_household_payment_txn_tot","debit_bank_transfer_household_payment_avg_txn","debit_cash_statement_charge_txn_ct","debit_cash_statement_charge_txn_tot","debit_cash_statement_charge_avg_txn","debit_cash_other_txn_ct","debit_cash_other_txn_tot","debit_cash_other_avg_txn","debit_bank_transfer_loan_payment_txn_ct","debit_bank_transfer_loan_payment_txn_tot","debit_bank_transfer_loan_payment_avg_txn","debit_bank_transfer_insurance_payment_txn_ct","debit_bank_transfer_insurance_payment_txn_tot","debit_bank_transfer_insurance_payment_avg_txn","debit_bank_transfer_other_txn_ct","debit_bank_transfer_other_txn_tot","debit_bank_transfer_other_avg_txn","credit_bank_transfer_pension_benefit_txn_ct","credit_bank_transfer_pension_benefit_txn_tot","credit_bank_transfer_pension_benefit_avg_txn","debit_credit_card_other_txn_ct","debit_credit_card_other_txn_tot","debit_credit_card_other_avg_txn","debit_cash_household_payment_txn_ct","debit_cash_household_payment_txn_tot","debit_cash_household_payment_avg_txn","debit_cash_negative_balance_charge_txn_ct","debit_cash_negative_balance_charge_txn_tot","debit_cash_negative_balance_charge_avg_txn","debit_cash_insurance_payment_txn_ct","debit_cash_insurance_payment_txn_tot","debit_cash_insurance_payment_avg_txn","pmt_order_ct","pmt_order_avg_amt","owner_client_id","gender","birth_date","owner_district"
"2",2,"1993-02-26","monthly","Hl.m. Praha",2,2,"1994-01-05",80952,3373,24,"expired",FALSE,42000,15,69302,1100,70,1537936,21970.5142857143,12,48400,4033.33333333333,70,10719,153.128571428571,65,472290,7266,65,975,15,172,1000242,5815.36046511628,24,80952,3373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5319.35,2,"M","1945-02-04","Hl.m. Praha"
"18",19,"1995-04-07","monthly","Tabor",1,1,"1996-04-29",30276,2523,12,"expired",TRUE,18500,1,58158,-10605,45,741807,16484.6,17,45800,2694.11764705882,90,5589,62.1,0,0,0,40,600,15,63,280494,4452.28571428571,8,20184,2523,0,0,0,0,0,0,0,0,0,0,0,0,32,481000,15031.25,8,58,7.25,0,0,0,1,2523.2,25,"F","1939-04-23","Tabor"
"24",25,"1996-07-28","monthly","Frydek - Mistek",1,1,"1997-12-08",30276,2523,12,"expired",FALSE,63300,15,134210,900,0,0,0,54,1488172,27558.7407407407,28,6203,221.535714285714,27,184059,6817,26,390,15,73,1215058,16644.6301369863,12,30276,2523,27,4428,164,27,29970,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2653.55,31,"M","1962-02-09","Frydek - Mistek"
"34",37,"1997-08-18","monthly","Strakonice",1,1,"1998-10-14",318480,5308,60,"current",TRUE,43200,0,104762,-1011,0,0,0,19,494494,26026,17,2535,149.117647058824,14,32438,2317,13,195,15,37,375655,10152.8378378378,1,5308,5308,14,1358,97,14,36176,2584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2576.375,45,"M","1952-08-26","Strakonice"
"60",67,"1994-10-19","monthly","Jindrichuv Hradec",1,1,"1996-05-02",165960,6915,24,"expired",FALSE,61500,15,134939,700,50,2261205,45224.1,2,6800,3400,50,10933,218.66,46,294078,6393,45,675,15,119,1758062,14773.6302521008,24,165960,6915,0,0,0,46,20470,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4584.33333333333,78,"F","1944-06-13","Jindrichuv Hradec"
"83",97,"1996-05-05","monthly","Ostrava - mesto",2,2,"1997-08-10",102876,8573,12,"expired",FALSE,18600,3,67288,900,0,0,0,35,635480,18156.5714285714,32,5443,170.09375,27,38772,1436,27,405,15,54,365100,6761.11111111111,12,102876,8573,27,81,3,55,67913,1234.78181818182,0,0,0,5,13200,2640,0,0,0,0,0,0,0,0,0,5,2487.6,116,"M","1942-01-28","Ostrava - mesto"
"89",103,"1996-03-10","monthly","Chrudim",1,1,"1997-12-06",265320,7370,36,"current",TRUE,62700,4,124758,-1140,0,0,0,38,867846,22838.0526315789,46,8542,185.695652173913,0,0,0,20,300,15,62,756940,12208.7096774194,11,81070,7370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,60,7.5,0,0,0,1,7370.2,124,"M","1967-09-21","Chrudim"
"91",105,"1997-07-10","monthly","Tabor",1,1,"1998-12-05",352704,7348,48,"current",FALSE,29900,15,74694,800,0,0,0,14,252833,18059.5,16,2657,166.0625,0,0,0,7,105,15,21,230819,10991.380952381,1,7348,7348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7348,127,"F","1950-12-27","Tabor"
"96",110,"1996-07-17","monthly","Liberec",1,1,"1997-09-08",162576,4516,36,"current",FALSE,44480,15,79652,900,0,0,0,32,745897,23309.28125,29,5741,197.965517241379,24,73200,3050,24,360,15,55,514800,9360,16,72256,4516,0,0,0,24,2352,98,0,0,0,5,14800,2960,0,0,0,0,0,0,0,0,0,3,2554.66666666667,132,"M","1953-01-26","Liberec"
"150",173,"1993-11-26","monthly","Zdar nad Sazavou",2,2,"1994-05-31",104808,8734,12,"expired",FALSE,18560,15,87882,500,0,0,0,95,1314120,13832.8421052632,61,8611,141.16393442623,57,356592,6256,56,840,15,120,662440,5520.33333333333,12,104808,8734,57,41895,735,114,92169,808.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3468.4,210,"M","1939-11-30","Zdar nad Sazavou"
